,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMD260102C00045000,2025-12-12 16:26:33+00:00,45.0,165.92,168.15,169.9,0.0,0.0,,1,10.867190708007813,True,REGULAR,USD
1,AMD260102C00050000,2025-11-18 20:22:24+00:00,50.0,182.97,163.25,164.9,0.0,0.0,,0,10.148441157226562,True,REGULAR,USD
2,AMD260102C00055000,2025-12-04 15:07:43+00:00,55.0,160.67,158.15,159.9,0.0,0.0,,0,9.503910310058593,True,REGULAR,USD
3,AMD260102C00060000,2025-12-05 16:56:48+00:00,60.0,158.66,153.25,154.9,0.0,0.0,2.0,2,8.921879423828123,True,REGULAR,USD
4,AMD260102C00065000,2025-12-03 19:13:25+00:00,65.0,151.3,148.2,149.9,0.0,0.0,,1,8.38672350830078,True,REGULAR,USD
5,AMD260102C00070000,2025-12-22 15:26:52+00:00,70.0,144.53,143.25,145.1,0.0,0.0,,10,5.000003749999999,True,REGULAR,USD
6,AMD260102C00075000,2025-12-29 14:55:11+00:00,75.0,137.65,138.2,140.2,0.0,0.0,3.0,3,5.12500359375,True,REGULAR,USD
7,AMD260102C00080000,2025-12-31 15:25:37+00:00,80.0,136.02,133.25,135.1,5.400009,4.1341367,1.0,1,4.406254492187499,True,REGULAR,USD
8,AMD260102C00085000,2025-12-31 20:22:27+00:00,85.0,129.5,128.2,130.2,0.0,0.0,1.0,8,4.5312543359375,True,REGULAR,USD
9,AMD260102C00090000,2025-12-30 18:34:49+00:00,90.0,125.21,123.25,125.15,0.0,0.0,3.0,16,4.265629667968749,True,REGULAR,USD
10,AMD260102C00095000,2025-12-30 15:15:25+00:00,95.0,119.81,118.2,120.2,0.0,0.0,1.0,9,4.01562998046875,True,REGULAR,USD
11,AMD260102C00100000,2025-12-30 15:54:33+00:00,100.0,115.83,113.25,115.0,0.0,0.0,1.0,20,5.679690400390625,True,REGULAR,USD
12,AMD260102C00105000,2025-12-29 17:13:29+00:00,105.0,108.93,108.2,110.2,0.0,0.0,10.0,23,3.5468761328125,True,REGULAR,USD
13,AMD260102C00110000,2025-12-31 19:30:31+00:00,110.0,105.75,103.25,104.95,0.91999817,0.8776096,1.0,14,4.9882850146484365,True,REGULAR,USD
14,AMD260102C00115000,2025-12-29 14:30:12+00:00,115.0,96.0,98.2,99.95,0.0,0.0,1.0,6,4.693363508300782,True,REGULAR,USD
15,AMD260102C00120000,2025-12-26 20:31:13+00:00,120.0,94.98,93.25,94.95,0.0,0.0,2.0,31,4.41211385986328,True,REGULAR,USD
